artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Christoph Heinrich Kniep,,,{Romanticism:1},,,,,,1798.0,1798.0,,,,,No,,Hildesheim,1755,Naples,1825,male,Kingdom of Hanover,painter,"[{'location': 'Hamburg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Hanover', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Joan de Tournai,,,{Gothic art:1},,,,,,,,,,,,,,Flanders,,,,male,Belgium,sculptor,"{'location': 'Girona', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Barthélemy d'Eyck,,,{Gothic art:1},,,,,,,,,,,,,,Prince-Bishopric of Liège,1420,,1470,male,Prince-Bishopric of Liège,"['painter', 'illuminator']",[]
Altichiero,,,{Gothic art:1},,,,,,,,,,,,,,Zevio,1330,Verona,1390,male,,"['painter', 'illuminator']","{'location': 'Verona', 'start_time': None, 'end_time': None, 'point_in_time': '1380-01-01T00:00:00Z'}"
Martín Bernat,,,{Gothic art:1},,,,,,,,,,,,,,,1450,,1505,male,Spain,painter,[]
Giovanni dal Ponte,,,{Gothic art:1},,,,,,,,,,,,,,Florence,1385,Florence,1438,male,,painter,"{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Diego de la Cruz,,,{Gothic art:1},,,,,,,,,,,,,,,1470,,1505,male,Spain,"['painter', 'association football player']","{'location': 'Burgos', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Antoni Claperós,,,{Gothic art:1},,,,,,,,,,,,,,,1500,,1500,male,,sculptor,[]
Bartomeu de Robió,,,{Gothic art:1},,,,,,,,,,,,,,,1400,,1400,male,Crown of Aragon,sculptor,"{'location': 'Lleida', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Jaime Serra,,,{Gothic art:1},,,,,,,,,,,,,,Lleida,1400,,1405,male,Crown of Aragon,"['painter', 'journalist', 'artist', 'politician']","{'location': 'Crown of Aragon', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Juan de la Abadía,,,{Gothic art:1},,,,,,1490.0,1490.0,,,,,No,,,1450,,1498,male,Spain,painter,"{'location': 'Huesca', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Gil de Siloé,,,{Gothic art:1},,,,,,,,,,,,,,Antwerp,1500,Burgos,1501,male,Spain,sculptor,"{'location': 'Burgos', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Bartolomeo Bulgarini,,,{Gothic art:1},,,,,,1350.0,1350.0,,,,,No,,Siena,1300,Siena,1378,male,,painter,"{'location': 'Siena', 'start_time': '1329-01-01T00:00:00Z', 'end_time': '1378-01-01T00:00:00Z', 'point_in_time': None}"
Franco dei Russi,,,{Gothic art:1},,,,,,1453.0,1463.0,"Veneto, Italy, Ferrara",,,"{Veneto:2},{Italy:12},{Ferrara:10}",No,,Mantua,1401,,1500,male,,illuminator,"[{'location': 'Urbino', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Ferrara', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Lombardy', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Gunnar Birkerts,,,{Modernism:1},,,,,,,,,,,,,,Riga,1925,Needham,2017,male,Latvia,"['university teacher', 'architect']",[]
Josep Lluís Sert,,,{Modernism:1},,,,,,,,,,,,,,Barcelona,1902,Barcelona,1983,male,Spain,"['university teacher', 'urban planner', 'architect']",[]
Elizabeth Okie Paxton,,,{Modernism:1},,,,,,1951.0,1951.0,,,,,No,,Providence,1878,Boston,1972,female,United States of America,painter,[]
Suzy Frelinghuysen,,,{Modernism:1},,,,,,,,,,,,,,Newark,1911,Lenox,1988,female,United States of America,"['opera singer', 'painter']",[]
Frank Bauer,,,{Modernism:1},,,,,,,,,,,,,,Bavaria,1862,,1922,male,United States of America,"['politician', 'jewelry designer', 'university teacher']",[]
Eusebi Arnau,,,{Modernism:1},,,,,,,,,,,,,,Barcelona,1863,Barcelona,1933,male,Spain,sculptor,[]
Ernő Grünbaum,,,{Modernism:2},,,,,,,,,,,,,,Oradea,1918,Mauthausen concentration camp,1940,male,Romania,"['lithographer', 'painter', 'illustrator']",[]
Hilaire Hiler,,,{Modernism:1},,,,,,,,,,,,,,Saint Paul,1898,Neuilly-sur-Seine,1966,male,United States of America,"['drawer', 'painter']",[]
Gaetano Pesce,,,"{Modernism:1},{Contemporary Art:3}",,,,,,1992.0,2014.0,Italy,,,{Italy:3},Yes,,La Spezia,1939,,,male,Italy,"['designer', 'jewelry designer', 'sculptor', 'architect']",[]
Leo Svemps,,,{Modernism:1},,,,,,1927.0,1927.0,,,,,No,,Livonia Governorate,1897,Riga,1975,male,Russian Empire,"['visual artist', 'painter', 'jurist', 'politician']",[]
Moshe Zabari,,,{Modernism:1},,,,,,1992.0,1992.0,,,,,,,,1935,,,male,United States of America,"['designer', 'sculptor']",[]
Jim Supangkat,,,{Modernism:1},,,,,,1975.0,1996.0,,,,,,,Makassar City,1949,,,male,Indonesia,"['sculptor', 'curator']",[]
Anton Maria Zanetti II,,,{Mannerism:1},,,,,,,,,,,,,,Venice,1706,Venice,1778,male,Republic of Venice,"['art historian', 'artist', 'librarian']","{'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Luis Juárez,,,{Mannerism:2},,,,,,,,,,,,,,Culiacán,1585,Mexico City,1638,male,New Spain,"['painter', 'baseball player']",[]
Cornelis Cornelisz van Haarlem,,,{Mannerism:1},,,,,,,,,,,,,,Haarlem,1562,Haarlem,1638,male,Habsburg Netherlands,"['painter', 'architect']","{'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Abraham Janssens,,,{Mannerism:1},,,,,,1605.0,1615.0,,,,,No,,Antwerp,1575,Antwerp,1632,male,Habsburg Netherlands,painter,"[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Philip Hermogenes Calderon,,,{Pre-Raphaelite Brotherhood:1},,,,,,,,London,,,{London:1},,,Poitiers,1833,London,1898,male,United Kingdom of Great Britain and Ireland,painter,[]
Henry Wallis,,,{Pre-Raphaelite Brotherhood:2},,,,,,,,London,,,{London:1},,,London,1830,Surrey,1916,male,United Kingdom of Great Britain and Ireland,"['painter', 'writer']",[]
Thomas Seddon,,,{Pre-Raphaelite Brotherhood:1},,,,,,,,,,,,,,City of London,1821,Cairo,1856,male,United Kingdom of Great Britain and Ireland,painter,[]
William Bell Scott,,,{Pre-Raphaelite Brotherhood:1},,,,,,,,Italy,,,{Italy:1},,,Edinburgh,1811,South Ayrshire,1890,male,United Kingdom of Great Britain and Ireland,"['graphic artist', 'art historian', 'painter', 'poet', 'writer']","{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Pierre Patel,,,{Baroque:1},,,,,,1669.0,1669.0,,,,,No,,Chauny,1605,Paris,1676,male,France,painter,"{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Wilhelm Janson,,,{Baroque:1},,,,,,,,,,,,,,,,,,male,,instrument maker,[]
Johannes Spilberg,,,{Baroque:2},,,,,,,,,,,,,,Düsseldorf,1619,Düsseldorf,1690,male,Netherlands,painter,"[{'location': 'Düsseldorf', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': '1649-01-01T00:00:00Z', 'end_time': '1650-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': '1654-01-01T00:00:00Z', 'end_time': '1661-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Düsseldorf', 'start_time': None, 'end_time': None, 'point_in_time': '1648-01-01T00:00:00Z'}, {'location': 'Düsseldorf', 'start_time': '1661-01-01T00:00:00Z', 'end_time': '1690-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1648-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Düsseldorf', 'start_time': '1651-01-01T00:00:00Z', 'end_time': '1654-01-01T00:00:00Z', 'point_in_time': None}]"
Jan van den Hoecke,,,{Baroque:1},,,,,,,,,,,,,,Antwerp,1611,Antwerp,1651,male,Southern Netherlands,painter,"[{'location': 'Italy', 'start_time': '1635-01-01T00:00:00Z', 'end_time': '1644-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1647-01-01T00:00:00Z', 'end_time': '1651-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Vienna', 'start_time': '1644-01-01T00:00:00Z', 'end_time': '1647-01-01T00:00:00Z', 'point_in_time': None}]"
Rutilio di Lorenzo Manetti,,,{Baroque:1},,,,,,,,,,,,,,Siena,1571,Siena,1639,male,Italy,painter,[]
Pedro Orrente,,,{Baroque:2},,,,,,1580.0,1644.0,,,,,No,,Murcia,1580,Valencia,1645,male,Spain,painter,[]
Esteban March,,,{Baroque:2},,,,,,,,,,,,,,Valencia,1610,Valencia,1668,male,Crown of Aragon,painter,[]
Nicolas Régnier,,,{Baroque:2},,,,,,1625.0,1625.0,,,,,No,,Maubeuge,1590,Venice,1667,male,County of Flanders,"['painter', 'merchant']","[{'location': 'Rome', 'start_time': '1617-01-01T00:00:00Z', 'end_time': '1625-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': '1639-01-01T00:00:00Z'}, {'location': 'Parma', 'start_time': '1616-01-01T00:00:00Z', 'end_time': '1617-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Modena', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1639-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1607-01-01T00:00:00Z', 'end_time': '1616-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Venice', 'start_time': '1626-01-01T00:00:00Z', 'end_time': '1667-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': '1639-01-01T00:00:00Z'}]"
Vincent van der Vinne,,,{Baroque:1},,,,,,,,,,,,,,Haarlem,1686,Haarlem,1742,male,Netherlands,"['drawer', 'painter', 'researcher']","{'location': 'Haarlem', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Sinibaldo Scorza,,,{Baroque:1},,,,,,1610.0,1620.0,Italy,,,{Italy:1},No,,Voltaggio,1589,Genoa,1631,male,Duchy of Savoy,"['etcher', 'painter']",[]
Simon de Vos,,,{Baroque:1},,,,,,,,,,,,,,Antwerp,1603,Antwerp,1676,male,Habsburg Netherlands,painter,"{'location': 'Antwerp', 'start_time': '1620-01-01T00:00:00Z', 'end_time': '1676-01-01T00:00:00Z', 'point_in_time': None}"
Bertholet Flemalle,,,{Baroque:1},,,,,,,,,,,,,,Liège,1614,Liège,1675,male,Prince-Bishopric of Liège,painter,"[{'location': 'Liège', 'start_time': '1646-01-01T00:00:00Z', 'end_time': '1675-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Florence', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1646-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1646-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': '1670-01-01T00:00:00Z'}, {'location': 'Rome', 'start_time': '1638-01-01T00:00:00Z', 'end_time': '1646-01-01T00:00:00Z', 'point_in_time': None}]"
Emanuel Vidović,,,{Modern art:1},,,,,,,,,,,,,,Split,1870,Split,1953,male,Socialist Federal Republic of Yugoslavia,"['graphic artist', 'painter']",[]
Theo Constanté,,,{Modern art:1},,,,,,,,,,,,,,Guayaquil,1934,,2014,male,Ecuador,painter,[]
Charles Bowman,,,,,,,,,2008.0,2008.0,,,,,Yes,,Essex,1961,,,male,United Kingdom,"['international forum participant', 'politician', 'researcher']",[]
Friedrich Kunath,,,,,,,,,2009.0,2013.0,,,,,Yes,,Chemnitz,1974,,,male,Germany,"['video artist', 'installation artist', 'drawer', 'painter']","{'location': 'Cologne', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Pedro Rodriguez,,,,,,,,,,,Spain,,,{Spain:122},,,Mexico City,1940,Norisring,1971,male,Mexico,"['Formula One driver', 'racing automobile driver', 'motorcycle racer', 'association football player', 'Catholic bishop', 'Catholic priest', 'painter', 'scientist', 'military personnel', 'politician', 'sport cyclist', 'entomologist', 'researcher']",[]
David Byrne,,,{Contemporary Art:2},,,,,,2013.0,2013.0,United States of America,,,{United States of America:2},Yes,,Dumbarton,1952,,1990,male,United States of America,"['music journalist', 'printmaker', 'film actor', 'blogger', 'director', 'film producer', 'film director', 'film score composer', 'guitarist', 'songwriter', 'musician', 'singer-songwriter', 'record producer', 'singer', 'composer', 'writer', 'actor', 'photographer', 'screenwriter', 'politician', 'lawyer', 'association football player', 'association football coach', 'painter', 'athlete', 'academic', 'sociologist', 'university teacher', 'researcher', 'basketball player', 'research audiologist']","{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Erika Giovanna Klien,,,,,,,,,1923.0,1923.0,,,,,No,,Borgo Valsugana,1900,New York City,1957,female,Austria,"['drawer', 'visual artist', 'pedagogue', 'painter', 'artist']","[{'location': 'United States of America', 'start_time': '1929-01-01T00:00:00Z', 'end_time': '1957-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Austria', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Carlo Scarpa,,,,,,,,,1969.0,1978.0,,,,,No,,Venice,1906,Sendai,1978,male,Kingdom of Italy,"['designer', 'professor', 'architect']",[]
K. Laxma Goud,,,,,,,,,1963.0,1987.0,India,,,{India:10},,,Nizampur,1941,,,male,Dominion of India,"['painter', 'artist']",[]
John Collins,,,,,,,,,1944.0,1944.0,,,,,No,,Galashiels,1968,Newport,1795,male,United Kingdom,"['association football player', 'association football coach', 'politician', 'guitarist', 'songwriter', 'theoretical physicist', 'physicist', 'mathematician', 'jazz musician', 'jazz guitarist', 'military personnel', 'musician', 'record producer', 'composer', 'cricketer', 'manager', 'businessperson', 'director', 'activist', 'chairperson', 'priest', 'music journalist', 'musicologist', 'teacher', 'poet', 'writer', 'cleric', 'Anglican priest', 'physician', 'diplomat', 'military officer', 'triathlete', 'naval officer', 'cartoonist', 'engraver', 'rower', 'mayor', 'basketball player', 'researcher', 'cinematographer', 'scientific illustrator', 'athlete', 'abolitionist', 'publisher', 'Catholic bishop', 'basketball coach', 'educator', 'lawyer', 'painter', 'bookseller', 'Catholic priest', 'photographer', 'community organizer', 'DJ producer', 'disc jockey', 'actor', 'university teacher', 'architect', 'marine biologist', 'carver', 'rugby union player']","[{'location': 'Trenton', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Welwyn Garden City', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Gustavo Ramírez,,,,,,,,,2004.0,2004.0,,,,,Yes,,Asunción,1984,,,male,Paraguay,"['association football player', 'association football coach', 'amateur wrestler', 'researcher']",[]
John Wilkes,,,,,,,,,1810.0,1829.0,,,,,No,,London,1725,London,1797,male,Kingdom of Great Britain,"['bretteur', 'journalist', 'politician', 'novelist', 'playwright']",[]
Kudluajuk Ashoona,,,,,,,,,2015.0,2015.0,,,,,Yes,,,1958,,,,Canada,[],"{'location': 'Kinngait', 'start_time': None, 'end_time': None, 'point_in_time': None}"
John Hall,,,,,,,,,1775.0,1775.0,,,,,No,,Bournemouth,1880,London,1943,female,United Kingdom,"['novelist', 'poet', 'writer']",[]
George Nelson,,,,,,,,,1946.0,1958.0,,,,,No,,Hartford,1908,New York City,1986,male,United States of America,"['designer', 'architect']",[]
Niccolò di Pietro Gerini,,,,,,,,,1385.0,1410.0,,,,,No,,Florence,1368,Florence,1415,male,,painter,[]
Astolfo de Maria,,,,,,,,,1926.0,1926.0,,,,,No,,Rome,1891,Venice,1946,male,Kingdom of Italy,painter,[]
Italian,,,,,,,,,1470.0,1999.0,,,,,,,Arezzo,1430,Arezzo,1506,male,Italy,"['painter', 'association football player', 'academic', 'jurist', 'artist', 'architect', 'drawer']","{'location': 'Arezzo', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Indian,,,,,,,,,1750.0,2008.0,"Udaipur, India",,"{Kotah School:1}, {with Decanni influence:1}, {Kangra:1}, {Punjab Hills:1}, {Jammu:1}, {Jaipur:1}","{Udaipur:3},{India:3}",Yes,,Bengaluru,1938,,,male,India,"['academic', 'politician', 'project manager']",[]
Waldo Mootzka,,,,,,,,,1930.0,1940.0,,,,,No,,Oraibi,1903,,1938,male,,painter,[]
Bartolo,,,,,,,,,,,Italy,,,{Italy:2},,,Siena,1362,Siena,1422,male,Italy,"['painter', 'botanist', 'physicist', 'Catholic bishop', 'Catholic priest']","{'location': 'Siena', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Biondo,,,,,,,,,,,Italy,,,{Italy:1},,,Rome,1998,,,male,Italy,rapper,[]
Lippi,,,,,,,,,,,Italy,,,{Italy:1},,,Florence,1406,Spoleto,1469,male,Republic of Florence,"['fresco painter', 'painter', 'poet', 'writer']","[{'location': 'Prato', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Pavia', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Spoleto', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Innsbruck', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Guariento di Arpo,,,,,,,,,,,Italy,,,{Italy:1},,,Piove di Sacco,1310,Padua,1370,male,,painter,"{'location': 'Padua', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Vanni,,,,,,,,,,,Italy,,,{Italy:1},,,Siena,1332,Siena,1414,male,Italy,"['painter', 'diplomat', 'printmaker', 'illuminator', 'botanist']","[{'location': 'Siena', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Milan', 'start_time': '1595-01-01T00:00:00Z', 'end_time': '1601-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Siena', 'start_time': None, 'end_time': None, 'point_in_time': '1344-01-01T00:00:00Z'}, {'location': 'Siena', 'start_time': None, 'end_time': None, 'point_in_time': '1342-01-01T00:00:00Z'}]"
Sienese painter,,,,,,,,,1400.0,1410.0,,,,,No,,Siena,1250,Siena,1261,male,,painter,[]
Egyptian,,,,,,,,,1800.0,1800.0,,,,,No,,Cairo,1961,,2013,male,Egypt,"['anthropologist', 'archaeologist', 'egyptologist', 'linguist', 'translator', 'writer', 'dentist']",[]
Vivarini,,,,,,,,,,,"Venice, Italy",,,"{Italy:3},{Venice:3}",,,Murano,1416,Venice,1480,male,Republic of Venice,"['painter', 'sculptor']","[{'location': 'Venice', 'start_time': '1421-01-01T00:00:00Z', 'end_time': '1450-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Padua', 'start_time': '1447-01-01T00:00:00Z', 'end_time': '1451-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Carlos Scliar,,,,,,,,,1942.0,1942.0,,,,,No,,Santa Maria,1920,Rio de Janeiro,2001,male,Brazil,"['drawer', 'painter']",[]
Bicci di Lorenzo,,,,,,,,,1410.0,1420.0,,,,,No,,Florence,1373,Florence,1452,male,,"['sculptor', 'painter']","{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Antonio Veneziano,,,,,,,,,1385.0,1385.0,,,,,No,,Venice,1400,Florence,1400,male,Republic of Venice,painter,[]
Michele di Matteo da Bologna,,,,,,,,,1427.0,1430.0,,,,,No,,Bologna,1350,,,male,,painter,[]
Donald Meyer,,,,,,,,,2002.0,2002.0,,,,,Yes,,Catalonia,1919,Barcelona,2005,male,Spain,"['short story writer', 'comics writer', 'novelist', 'writer']",[]
Anton Hofer,,,,,,,,,1908.0,1908.0,,,,,No,,Bolzano,1888,Bolzano,1979,male,Kingdom of Italy,"['designer', 'politician', 'botanist']",[]
Francesco di Gentile da Fabriano,,,,,,,,,1475.0,1475.0,,,,,No,,,,,,,,[],[]
Georg Strauch,,,,,,,,,1626.0,1711.0,"Nuremberg, Germany",,,"{Nuremberg:4},{Germany:4}",No,,Nuremberg,1613,Nuremberg,1673,male,,"['enameler', 'drawer', 'printmaker', 'etcher', 'painter']","{'location': 'Nuremberg', 'start_time': None, 'end_time': None, 'point_in_time': None}"
