artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
H.J. Hugenholz,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
Anthony Cornelis Twent,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
L.J. Lefebre,,,,,,,,,,,Hague,,,{Hague:2},,
Chatel Jeune,,,,,,,,,,,Paris,,,{Paris:1},,
attributed to Pompeo Leoni,,,,,,,,,,,Italy,,,{Italy:1},,
L. Emile C. Martin,,,,,,,,,,,France,,,{France:1},,
James Bouvery Grant,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
Anna Maria Riis,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:1},{Ohio:1},{United States:1}",,
Massimiliano and Doriana Fuksas,,,,,,,,,1998.0,1998.0,,,,,,
Charles Lepec,,,,,,,,,,,Paris,,,{Paris:2},,
Willem Bartel van der Kooi,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
Olivia Shih,,,,,,,,,,,Oakland,,,{Oakland:4},,
Fa. Elkington & Co.,,,,,,,,,,,"London, Birmingham",,,"{London:6},{Birmingham:1}",,
attributed to Johann Heinrich von Hurter,,,,,,,,,,,England,,,{England:2},,
Glashütte Potsdam,,,,,,,,,1720.0,1720.0,,,,,No,
Nagahara,,,,,,,,,,,Japan,,,{Japan:2},,
Yasuchika,,,,,,,,,,,Japan,,,{Japan:4},,
Yoshitane,,,,,,,,,,,Japan,,,{Japan:2},,
Kanaya Gorosaburo,,,,,,,,,,,Japan,,,{Japan:2},,
Franz Christoph Janneck,,,,,,,,,1740.0,1740.0,,,,,No,
False seal of Raku Tannyu,,,,,,,,,,,,,"{Raku ware:2}, {unknown workshop:2}",,,
Christopher Kane,,,,,,,,,,,"London, United Kingdom",,,"{London:1},{United Kingdom:1}",,
Simone Rocha,,,,,,,,,,,"London, United Kingdom",,,"{London:2},{United Kingdom:2}",,
Evening Wear##VQE8tNBRdma-UQ,,,"{tulle, lace, faille:1}","Lace,",,,,,,,,,,,,
Henry Ball,,,,,,,,,,,"France, Calais",,,"{Calais:2},{France:2}",,
Mizuki Okada,,,,,,,,,,,"Japan, Tokyo",,,"{Tokyo:1},{Japan:1}",,
Maggy Rouff for House of Rouff,,,,,,,,,,,Paris,,,{Paris:2},,
Pietro Mera,,,,,,,,,1615.0,1615.0,,,,,No,
Nicolas Mavropoulos,,,,,,,,,,,"Greece, Athens",,,"{Athens:4},{Greece:4}",,
Paolo De Poli,,,,,,,,,,,"Italy, Padua",,,"{Padua:3},{Italy:3}",,
George Stephenson,,,,,,,,,1833.0,1833.0,,,,,No,
Hans Rogiers van Harelbeke,,,,,,,,,,,Amsterdam,,,{Amsterdam:5},,
Limousin Goldsmith,,,,,,,,,1195.0,1225.0,France,,,{France:1},No,
Rudy Nzongo Kumbu,,,,,,,,,2014.0,2014.0,Democratic Republic of Congo,,,{Democratic Republic of Congo:2},Yes,
Doreen Bayley,,,,,,,,,2016.0,2016.0,,,,,Yes,
Lorenzo Garbieri,,,,,,,,,1615.0,1615.0,,,,,No,
Jiao Xingtao,,,,,,,,,2016.0,2016.0,,,,,Yes,
Franc Linder,,,,,,,,,,,"Ljubljana, Slovenia",,,"{Ljubljana:2},{Slovenia:2}",,
Ludwig Hohlwein,,,,,,,,,1905.0,1908.0,,,,,No,
School of Charles Francis Annesley Voysey,,,,,,,,,1895.0,1895.0,,,,,No,
Phineus Painter,,,,,,,,,,,Greece,,,{Greece:2},,
Centaur Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Giovanni Battista Nini,,,,,,,,,1777.0,1777.0,,,,,No,
Artus Quellinus (I),,,,,,,,,,,Amsterdam,,,{Amsterdam:22},,
Gela Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Jan Schmeltzing (III),,,,,,,,,,,Leiden,,,{Leiden:1},,
circle of Pieter Xaveri,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
Girolamo della Robbia,,,,,,,,,,,"Italy, Florence",,,"{Florence:1},{Italy:1}",,
Attributed to Group of Würzburg 221,,,,,,,,,,,"Greece, Athens",,,"{Athens:4},{Greece:4}",,
Attributed to Class of Neck Amphorae with Shoulder Pictures,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Lykomedes Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Nikosthenes Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Fillìa,,,,,,,,,1930.0,1930.0,,,,,No,
Attributed to Nikosthenes,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Possibly Centaur Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Attributed to Syleus Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:5},{Greece:5}",,
Attributed to the Scottsdale Painter,,,,,,,,,,,"South Italy, Apulia",,,"{Apulia:1},{South Italy:1}",,
Black Fury Group,,,,,,,,,,,"South Italy, Apulia",,,"{Apulia:4},{South Italy:4}",,
Branicki Painter,,,,,,,,,,,"South Italy, Campania",,,"{Campania:1},{South Italy:1}",,
Leagros Group,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Castellani Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Attributed to the Lotus Bud Group,,,,,,,,,,,Etruria,,,{Etruria:1},,
Attributed to Pointed Nose Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Aegisthus Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Attributed to the Painter of Louvre MNB 1148,,,,,,,,,,,"South Italy, Apulia",,,"{Apulia:1},{South Italy:1}",,
Attributed to the Ambrosios Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Amasis,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Polion,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Adolphseck Painter,,,,,,,,,,,"Taras, South Italy",,,"{Taras:1},{South Italy:1}",,
Attributed to near the Black Fury Group (Greek (Apulian),,,,,,,,,,,South Italy,,,{South Italy:1},,
Alan Watt,,,,,,,,,1999.0,1999.0,,,,,,
Luisa Roldán,,,,,,,,,,,Spain,,,{Spain:1},,
Attributed to Epiktetos,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Paolo Icaro,,,,,,,,,1990.0,1990.0,,,,,,
Attributed to the Chigi Group,,,,,,,,,,,"Corinth, Greece",,,"{Corinth:2},{Greece:2}",,
Pujol Montané,,,,,,,,,1912.0,1915.0,,,,,No,
Kleophrades,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Attributed to the Marlay Group,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Anne Katrin Störk,,,,,,,,,2003.0,2003.0,,,,,Yes,
Boreads Painter,,,,,,,,,,,"Sparta, Greece",,,"{Sparta:2},{Greece:2}",,
Agrigento Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Attributed to Nikosthenes (Greek (Attic),,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
attributed to Louis Royer,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
Sabouroff Class,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Attributed to Syriskos,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Black Fury Group (Greek (Apulian),,,,,,,,,,,South Italy,,,{South Italy:3},,
Attributed to Briseis Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Painter of the Villa Giulia 63613,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Tleson Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Hunt Painter,,,,,,,,,,,"Sparta, Greece",,,"{Sparta:3},{Greece:3}",,
Ambrosios Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Attributed to Onesimos,,,,,,,,,,,"Greece, Athens",,,"{Athens:6},{Greece:6}",,
Painter N,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
Lycurgus Painter,,,,,,,,,,,"South Italy, Apulia",,,"{Apulia:3},{South Italy:3}",,
Attributed to Bareiss Painter,,,,,,,,,,,"Greece, Athens",,,"{Athens:6},{Greece:6}",,
Warren MacKenzie,,,,,,,,,1979.0,1995.0,,,,,,
Hiroshi Seto,,,,,,,,,1973.0,1973.0,,,,,No,
Mary Wright,,,,,,,,,1946.0,1948.0,,,,,No,
Paul Cushman (1767-1833) Albany,,,,,,,,,1809.0,1809.0,,,,,No,
Charles King Oliver,,,,,,,,,1852.0,1852.0,,,,,No,
Thomas and John Wedgwood,,,,,,,,,1743.0,1763.0,,,,,No,
Krizman,,,,,,,,,1925.0,1925.0,"Croatia, Zagreb",,,"{Croatia:3},{Zagreb:3}",No,
David Drake,,,,,,,,,,,"South Carolina, United States, Edgefield",,,"{Edgefield:3},{South Carolina:3},{United States:3}",,
Charles Vyse,,,,,,,,,1957.0,1957.0,,,,,No,
Charles Meigh & Co.,,,,,,,,,,,England,,,{England:3},,
Mark Hewitt,,,,,,,,,2007.0,2007.0,,,,,Yes,
Leah and Lapid Pottery,,,,,,,,,1960.0,1970.0,,,,,No,
Henrietta Dana Leonard,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:3},{Ohio:3},{United States:3}",,
Enoch Wood and Sons,,,,,,,,,,,"England, Burslem, Staffordshire",,,"{Burslem:3},{Staffordshire:3},{England:3}",,
Anthony Wise Baecher,,,,,,,,,,,"USA, Winchester, Virginia",,,"{Winchester:3},{Virginia:3},{USA:3}",,
Syriskos Painter,,,,,,,,,,,,,{Attic:3},,,
Abraham Pfleger I,,,,,,,,,1583.0,1583.0,,,,,No,
Charles Frederick Kandler,,,,,,,,,,,"London, England",,,"{London:2},{England:2}",,
Edward C. Moore,,,,,,,,,1875.0,1880.0,,,,,No,
Simon van de Passe,,,,,,,,,,,"Utrecht, Northern Netherlands",,,"{Utrecht:2},{Northern Netherlands:2}",,
Ze'ev Raban,,,,,,,,,1930.0,1930.0,,,,,No,
Thomas H. Warner,,,,,,,,,1805.0,1805.0,,,,,No,
John Inch,,,,,,,,,1743.0,1743.0,,,,,No,
Jules Coquelin,,,,,,,,,,,"Paris, France",,,"{Paris:3},{France:3}",,
Attributed to Burchardt Precht,,,,,,,,,1700.0,1700.0,,,,,No,
Real Fábrica de Platería Martínez,,,,,,,,,,,"Spain, Madrid",,,"{Madrid:3},{Spain:3}",,
Huseynov Gulbala (1895-1969),,,,,,,,,1957.0,1957.0,,,,,No,
Thomas Charles Fletcher,,,,,,,,,1825.0,1825.0,,,,,No,
Christian Winter,,,,,,,,,,,"Augsburg, Germany",,,"{Augsburg:2},{Germany:2}",,
Gulbala Huseynov (1895-1969),,,,,,,,,1950.0,1960.0,,,,,No,
Narahara Ikko,,,,,,,,,1985.0,1985.0,,,,,,
Carol Beckwith & Angela Fisher,,,,,,,,,1977.0,1996.0,,,,,,
Felice Beato (British,,,,,,,,,,,"India, Lucknow",,,"{India:7},{Lucknow:1}",,
Fédèle Azari,,,,,,,,,1914.0,1929.0,"Italy, Milan",,,"{Milan:2},{Italy:2}",No,
“Ralph Gout” – London,,,,,,,,,1722.0,1722.0,,,,,No,
Zeuner,,,,,,,,,1700.0,1799.0,,,,,No,
Friedrich Kettwyck,,,,,,,,,1650.0,1650.0,,,,,No,
Mark Klett,,,,,,,,,1991.0,1991.0,Oklahoma City,,,{Oklahoma City:3},,
Rosenthal,,,,,,,,,1939.0,1942.0,,,,,No,
Albuquqerque,,,,,,,,,1951.0,1961.0,,,,,No,
Gautherot,,,,,,,,,1940.0,1962.0,"Brazil, Rio de Janeiro, Brasília, Maceió",,,"{Rio de Janeiro:4},{Brazil:5},{Brasília:1},{Maceió:1}",No,
Wiesław Sawczuk,,,,,,,,,1960.0,1960.0,,,,,No,
Anglo-Irish,,,,,,,,,1820.0,1850.0,,,,,No,
YOSHIKAWA Kimiya & TSAI Hsiao-Chi,,,,,,,,,2012.0,2012.0,,,,,Yes,
Almira H. White,,,,,,,,,,,United States,,,{United States:2},,
Lawrence Photographic Studio,,,,,,,,,1910.0,1910.0,,,,,No,
Gillinder & Sons,,,,,,,,,1860.0,1892.0,,,,,No,
Stephen Hodder (American,,,,,,,,,1983.0,1983.0,,,,,,
Smith Brothers Decorating Co.,,,,,,,,,1874.0,1900.0,,,,,No,
Charles Kaziun (American,,,,,,,,,1950.0,1976.0,,,,,No,
Unknown / Porumbacu de Sus,,,,,,,,,1701.0,1800.0,,,,,No,
Michael Meilahn (American,,,,,,,,,1981.0,2009.0,,,,,Yes,
Akteo,,,,,,,,,2000.0,2000.0,Switzerland,,,{Switzerland:9},Yes,
Frances Dyer Whittemore,,,,,,,,,1965.0,1976.0,,,,,No,
Omega,,,,,,,,,1914.0,1970.0,"Geneva, Switzerland",,,"{Switzerland:7},{Geneva:3}",No,
Pierre Haly,,,,,,,,,1790.0,1790.0,,,,,No,
Compagnie des Verreries et Cristalleries de Baccarat and Raymond Gayrard (French,,,,,,,,,1820.0,1850.0,,,,,No,
Pietro Bigaglia,,,,,,,,,1845.0,1848.0,,,,,No,
Perthshire Paperweights,,,,,,,,,1971.0,2002.0,,,,,Yes,
Ferrier P¬re-Fils et Soulier,,,,,,,,,,,Paris,,,{Paris:1},,
Dammouse,,,,,,,,,1910.0,1910.0,,,,,No,
Unknown and probably Monot,,,,,,,,,1868.0,1888.0,,,,,No,
Debbie Tarsitano (American,,,,,,,,,1981.0,1996.0,,,,,,
John Gentile (American,,,,,,,,,1972.0,1972.0,,,,,No,
J. Kilner & Sons,,,,,,,,,1829.0,1876.0,,,,,No,
Étienne-Augustin Le Roy,,,,,,,,,,,"Paris, France",,,"{Paris:1},{France:1}",,
Salviati & Co,,,,,,,,,1869.0,1880.0,,,,,No,
Rheinische Glashutten-Actien-Gesellschaft,,,,,,,,,1880.0,1900.0,,,,,No,
Moje,,,,,,,,,1978.0,1999.0,,,,,,
Compagnie des Verreries et Cristalleries de Baccarat,,,,,,,,,1835.0,1974.0,,,,,No,
attributed to Ralph Barber (American,,,,,,,,,1905.0,1912.0,,,,,No,
Auguste Jean,,,,,,,,,,,Paris,,,{Paris:1},,
Monot,,,,,,,,,1870.0,1880.0,,,,,No,
Burnett,,,,,,,,,,,United Kingdom,,,{United Kingdom:1},,
Anlgo-Irish,,,,,,,,,1830.0,1830.0,,,,,No,
John Seitz (American),,,,,,,,,1989.0,1989.0,,,,,,
C.W. Immink,,,,,,,,,,,Netherlands,,,{Netherlands:4},,
Allen & Moore,,,,,,,,,1851.0,1851.0,,,,,No,
Hobbs,,,,,,,,,1876.0,1891.0,,,,,No,
Rick Ayotte (American,,,,,,,,,1892.0,2012.0,,,,,Yes,
Les Parfums de Rosine,,,,,,,,,1930.0,1930.0,,,,,No,
Willi Pistor (German,,,,,,,,,1984.0,1984.0,,,,,,
Whitefriars,,,,,,,,,1848.0,1983.0,,,,,,
T. G. Hawkes & Co.,,,,,,,,,1880.0,1920.0,,,,,No,
Shop of the Crafters (American,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:2},{Ohio:2},{United States:2}",,
Granite Glass Co.,,,,,,,,,1846.0,1860.0,,,,,No,
Union Glass Co.,,,,,,,,,1910.0,1920.0,,,,,No,
Johne Parsley (American,,,,,,,,,1988.0,1995.0,,,,,,
Delmo Tarsitano (Italian/American,,,,,,,,,1989.0,1989.0,,,,,,
Parabelle Glass,,,,,,,,,1996.0,1996.0,,,,,,
Johann Lötz Witwe,,,,,,,,,1899.0,1899.0,,,,,No,
possibly Ferrier P¬re-Fils et Soulier,,,,,,,,,,,Berlin,,,{Berlin:1},,
Biemann,,,,,,,,,1840.0,1840.0,,,,,No,
Parfums Lenthéric,,,,,,,,,1930.0,1930.0,,,,,No,
attributed to Jan Hendrik Middelhuysen,,,,,,,,,,,Amsterdam,,,{Amsterdam:1},,
attributed to Pietro Bigaglia (Italian,,,,,,,,,1847.0,1847.0,,,,,No,
Dupont Baccarat,,,,,,,,,1920.0,1920.0,,,,,No,
Langenheim Brothers [Frederick and William Langenheim],,,,,,,,,1856.0,1856.0,,,,,No,
Daniel Salazar (American,,,,,,,,,1989.0,2008.0,,,,,Yes,
Ferrier P¬re-Fils et Soulier & L©vy Sr.,,,,,,,,,,,Venice,,,{Venice:1},,
Parfums D'Ouchy,,,,,,,,,1930.0,1930.0,,,,,No,
Cristallerie de Saint-Mandé,,,,,,,,,1850.0,1850.0,,,,,No,
Edward Rithner (American,,,,,,,,,1920.0,1940.0,,,,,No,
H.J.J. Geuer,,,,,,,,,,,Utrecht,,,{Utrecht:1},,
Pieter Schuijt (Jr),,,,,,,,,,,"Netherlands, Amsterdam",,,"{Netherlands:1},{Amsterdam:3}",,
Yasuhiro Suzuki,,,,,,,,,2002.0,2016.0,,,,,Yes,
Kent Ipsen (American,,,,,,,,,1968.0,1970.0,,,,,No,
William Frederick Hall,,,,,,,,,1889.0,1890.0,,,,,No,
Despret,,,,,,,,,1900.0,1910.0,,,,,No,
Erhard & Söhne,,,,,,,,,1910.0,1910.0,Germany,,,{Germany:3},No,
Daum Frères,,,,,,,,,1890.0,1930.0,,,,,No,
Jeanne Adele Bernard for Jenny,,,,,,,,,,,"Paris, France",,,"{Paris:2},{France:2}",,
H. N. Hooper Company,,,,,,,,,1835.0,1840.0,,,,,No,
Jean-Antoine Lépine,,,,,,,,,,,France,,,{France:1},,
J. & L. Lobmeyr (Vienna,,,,,,,,,1872.0,1927.0,,,,,No,
possibly Wiener Werkst_tte,,,,,,,,,,,Vienna,,,{Vienna:1},,
Peter Raos (New Zealander,,,,,,,,,2008.0,2008.0,,,,,Yes,
Antonio Salviati,,,,,,,,,1880.0,1880.0,,,,,No,
after Jan Swart van Groningen,,,,,,,,,,,Northern Netherlands,,,{Northern Netherlands:1},,
possibly Meester van de Dood van Absalom,,,,,,,,,,,Northern Netherlands,,,{Northern Netherlands:1},,
Victor Trabucco (American,,,,,,,,,1981.0,1996.0,,,,,,
Sebastiaan Alphonse Van Besten,,,,,,,,,,,"Utrecht, Rotterdam",,,"{Rotterdam:3},{Utrecht:1}",,
Min Byeongho,,,,,,,,,1897.0,1897.0,,,,,No,
Yaffa Sikorsky-Todd (American,,,,,,,,,1988.0,1995.0,,,,,,
Unknown and possibly Compagnie des Cristalleries de Saint Louis,,,,,,,,,1850.0,1878.0,,,,,No,
possibly Cristallerie de Clichy,,,,,,,,,1845.0,1860.0,,,,,No,
attributed to Burnett,,,,,,,,,,,United Kingdom,,,{United Kingdom:1},,
Benjamin Bowden,,,,,,,,,,,"USA, Grand Haven, Michigan",,,"{Grand Haven:1},{Michigan:1},{USA:1}",,
A. Pichler's Witwe & Sohn Lehrmittelanstalt,,,,,,,,,1875.0,1933.0,,,,,No,
Robert Banford (American,,,,,,,,,1976.0,2000.0,,,,,Yes,
Peter McDougall (Scottish,,,,,,,,,1992.0,2008.0,,,,,Yes,
Fillebrown,,,,,,,,,1890.0,1899.0,,,,,No,
Wes Hunting (American),,,,,,,,,1994.0,1994.0,,,,,,
Caithness Glass and Whitefriars,,,,,,,,,1999.0,1999.0,,,,,,
Willson,,,,,,,,,1980.0,1996.0,,,,,,
Andre Billeci (American,,,,,,,,,1971.0,1971.0,,,,,No,
Sarah Dodge,,,,,,,,,,,United States,,,{United States:1},,
Frijns,,,,,,,,,1994.0,1994.0,,,,,,
Kristian Klepsch (Austrian,,,,,,,,,1986.0,1986.0,,,,,,
Paul Ysart (Scottish,,,,,,,,,1935.0,1970.0,,,,,No,
Venice and Murano Glass Company Ltd. (1872-1877),,,,,,,,,1878.0,1881.0,,,,,No,
Imperial Glass Company,,,,,,,,,1910.0,1930.0,,,,,No,
Salviati,,,,,,,,,1875.0,1899.0,,,,,No,
Horejc,,,,,,,,,1924.0,1924.0,,,,,No,
Colin Terris (Scottish,,,,,,,,,1971.0,1992.0,,,,,,
Compagnie des Cristalleries de Saint-Louis,,,,,,,,,1845.0,1860.0,,,,,No,
J. en L. Lobmeyr,,,,,,,,,,,Vienna,,,{Vienna:2},,
Salviati & Co.,,,,,,,,,,,Venice,,,{Venice:1},,
Douglas J. Becker (American),,,,,,,,,1987.0,1987.0,,,,,,
Emile Galle,French,École de Nancy,{Art Nouveau:19},,,,,,1870.0,1904.0,,Art Nouveau (Modern):1889-1904,{Art Nouveau (Modern):19},,No,
Escalier de Cristal,,,,,,,,,,,Paris,,,{Paris:1},,
E. Bakalowitz & S¦hne,,,,,,,,,,,Vienna,,,{Vienna:1},,
Sylvia Vigiletti (Canadian/American,,,,,,,,,1978.0,1978.0,,,,,No,
Gurney,,,,,,,,,1750.0,1750.0,,,,,No,
Gernheim Glasshouse (founded in 1812 in German),,,,,,,,,1825.0,1875.0,,,,,No,
Simon Jacob Sang,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
Swahili Tribe,,,,,,,,,,,"Kenya, Tanzania",,,"{Kenya:1},{Tanzania:1}",,
Perino & Vele (Emiliano Perino e Luca Vele,,,,,,,,,2014.0,2014.0,,,,,Yes,
Alius,,,,,,,,,1763.0,1763.0,,,,,No,
Ludwig Yehuda Wolpert,,,,,,,,,1964.0,1964.0,,,,,No,
James Lundberg (American,,,,,,,,,1989.0,1989.0,,,,,,
Eisch,,,,,,,,,1967.0,1997.0,,,,,,
William Gale,,,,,,,,,1852.0,1852.0,,,,,No,
Gillinder and Sons,,,,,,,,,1876.0,1889.0,,,,,No,
Jacob Fishman (American),,,,,,,,,1993.0,1993.0,,,,,,
Brooklyn Flint Glass Company (1840-1868),,,,,,,,,,,"Brooklyn, NY, United States",,,"{United States:1},{NY:1},{Brooklyn:1}",,
Count Harrach's Glasshouse,,,,,,,,,1815.0,1851.0,,,,,No,
Simm,,,,,,,,,1835.0,1840.0,,,,,No,
M'Kee Brothers,,,,,,,,,1860.0,1870.0,,,,,No,
Jan Groenevelt,,,,,,,,,,,Rotterdam,,,{Rotterdam:1},,
Attributed to Franz Welz,,,,,,,,,1930.0,1930.0,,,,,No,
Wolff,,,,,,,,,1775.0,1798.0,,,,,No,
Marcel Goupy,,,,,,,,,1925.0,1925.0,,,,,No,
Catarina Vaz,,,,,,,,,2015.0,2015.0,Portugal,,,{Portugal:1},Yes,
Venice and Murano Glass Company (1872-1877),,,,,,,,,1878.0,1900.0,,,,,No,
Bety K. Majerníková,,,,,,,,,2005.0,2005.0,,,,,Yes,
Oriza Legrand,,,,,,,,,1917.0,1930.0,,,,,No,
Miotti Glasshouse,,,,,,,,,1725.0,1775.0,,,,,No,
Hans Bolek,,,,,,,,,1916.0,1923.0,,,,,No,
Reinier van Jaersvelt,,,,,,,,,,,Antwerp,,,{Antwerp:1},,
Dr. Christopher Dresser,,,,,,,,,1882.0,1882.0,,,,,No,
Joseph Wilson,,,,,,,,,1900.0,1900.0,,,,,No,
Attributed to William Carleton,,,,,,,,,1820.0,1840.0,,,,,No,
possibly Baccarat,,,,,,,,,,,Paris,,,{Paris:1},,
LIP,,,,,,,,,1970.0,1975.0,Grenchen,,,{Grenchen:3},No,
Åke Åkesson,,,,,,,,,,,Sweden,,,{Sweden:1},,
Colin Reid (British,,,,,,,,,1987.0,1989.0,,,,,,
Gerard Muller,,,,,,,,,,,Amsterdam,,,{Amsterdam:2},,
Moskovics,,,,,,,,,1970.0,1970.0,"Brazil, Rio de Janeiro",,,"{Rio de Janeiro:2},{Brazil:2}",No,
Philippa Ruth Miller,,,,,,,,,1939.0,1945.0,Norfolk,,,{Norfolk:12},No,
Adrien Rovero   with Schott Suisse SA,,,,,,,,,2016.0,2016.0,,,,,Yes,
Yan Zoritchak,,,,,,,,,1986.0,1987.0,,,,,,
Benjamin Leach (American,,,,,,,,,1896.0,1896.0,,,,,No,
Leo Moser,,,,,,,,,1925.0,1925.0,,,,,No,
Tan Zi Hao,,,,,,,,,2016.0,2016.0,,,,,Yes,
Julien Viard,,,,,,,,,1920.0,1930.0,,,,,No,
Webb,,,,,,,,,1875.0,1880.0,,,,,No,
Jim D'Onofrio (American,,,,,,,,,1992.0,2002.0,,,,,Yes,
Bakewell & Company,,,,,,,,,1826.0,1860.0,,,,,No,
Vincenzo Moretti,,,,,,,,,1880.0,1880.0,,,,,No,
Christine Stankard Kressley (American,,,,,,,,,2005.0,2005.0,,,,,Yes,
Friedrich Egermann (Bohemian,,,,,,,,,1830.0,1840.0,,,,,No,
F. & C. Osler,,,,,,,,,1880.0,1920.0,,,,,No,
Aschenbrenner,,,,,,,,,1989.0,1989.0,,,,,,
Cesar Klein,,,,,,,,,1919.0,1919.0,,,,,No,
William Carlson (American,,,,,,,,,1979.0,1979.0,,,,,No,
Oszkár Tarján,,,,,,,,,,,"Hungary, Budapest",,,"{Budapest:1},{Hungary:1}",,
David Huchthausen (American,,,,,,,,,1977.0,1993.0,,,,,,
Fratelli Barovier,,,,,,,,,1885.0,1890.0,,,,,No,
Smrckova,,,,,,,,,1937.0,1937.0,,,,,No,
Strathearn Glass,,,,,,,,,1970.0,1970.0,,,,,No,
Gerwald Rockenschaub,Austrian,,{Neo-Minimalism (Neo-Geo):15},,,,,,1984.0,2014.0,,Neo-Geo:1984-2011,{Neo-Geo:15},,Yes,
Drew Ebelhare (American,,,,,,,,,2001.0,2001.0,,,,,Yes,
Roger J. Brown (American,,,,,,,,,1979.0,1979.0,,,,,No,
Barthélemy Desprez (French,,,,,,,,,1780.0,1806.0,,,,,No,
Chris Buzzini (American,,,,,,,,,1990.0,1990.0,,,,,,
Orient & Flume,,,,,,,,,1974.0,1974.0,,,,,No,
Ronald E. Hansen (American,,,,,,,,,1967.0,1967.0,,,,,No,
Boston Silver Glass Company,,,,,,,,,1865.0,1871.0,,,,,No,
Paul Holton (American,,,,,,,,,1941.0,1941.0,,,,,No,
John Deacons (Scottish,,,,,,,,,1980.0,2001.0,,,,,Yes,
David Salazar (American),,,,,,,,,1994.0,1994.0,,,,,,
Pfeiffer,,,,,,,,,1835.0,1835.0,,,,,No,
Brent Cox (American),,,,,,,,,1976.0,1976.0,,,,,No,
Jean Hartwig (French,,,,,,,,,1977.0,1977.0,,,,,No,
Andries Melort,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
Doris Scrutton (American 1937-2013),,,,,,,,,1986.0,1986.0,,,,,,
Steven Lundberg,,,,,,,,,1985.0,1985.0,,,,,,
attributed to Gerard Muller,,,,,,,,,,,Amsterdam,,,{Amsterdam:1},,
Bugel,,,,,,,,,1850.0,1860.0,,,,,No,
Michael Hunter (English,,,,,,,,,2008.0,2008.0,,,,,Yes,
Vezzi,,,,,,,,,1720.0,1760.0,,,,,No,
Randall Grubb (American),,,,,,,,,1988.0,1988.0,,,,,,
A. R. Samuels,,,,,,,,,1830.0,1840.0,,,,,No,
John Harmer,,,,,,,,,1860.0,1860.0,,,,,No,
Attributed to Evert Duyckinck (1621-about 1702),,,,,,,,,1656.0,1656.0,,,,,No,
Alison Ruzsa (American,,,,,,,,,2015.0,2015.0,,,,,Yes,
Urban Janke,,,,,,,,,1910.0,1912.0,,,,,No,
David Graeber (American),,,,,,,,,2010.0,2010.0,,,,,Yes,
David Grant Maul (American,,,,,,,,,1990.0,1990.0,,,,,,
